Section,Question_Number,Question_Text,Forms_Question_Type,Options,Allow_Multiple_Answers,Required,Notes
Section 4: Bridging the ML Knowledge Gap,4.4,Would additional ML prerequisite materials before the workshop have been helpful?,Choice,"Yes, definitely needed|Probably helpful|Not necessary|No, the workshop provided sufficient background",No,No,
Section 4: Bridging the ML Knowledge Gap,4.4b,If yes what specific prerequisite topics would have been helpful?,Text (Long),,,No,Show if "Yes" or "Probably helpful" selected in 4.4
Section 5: Materials & Resources,5.1,The lecture slides were:,Choice,"Excellent - clear and informative|Good - generally helpful|Adequate - could be improved|Poor - hard to follow",No,No,
Section 5: Materials & Resources,5.2,The GitHub repository organization was:,Choice,"Excellent - easy to navigate|Good - found what I needed|Adequate - some confusion|Poor - hard to find materials",No,No,
Section 5: Materials & Resources,5.3,The README documentation was:,Choice,"Very comprehensive|Adequate for getting started|Needs improvement|Did not use it",No,No,
Section 5: Materials & Resources,5.4,Which additional resources would be helpful?,Choice,"Video recordings of lectures|Additional reading materials/papers|More example use cases from different domains|Troubleshooting guide for common issues|Extended tutorials for specific models|Links to relevant papers for each model|Glossary of terms|Other (please specify)",Yes,No,Multi-select; add "Other" text field
Section 6: Logistics & Delivery,6.1,The workshop duration (2 days) was:,Choice,"Too short - needed more time|About right|Too long - could be condensed",No,No,
Section 6: Logistics & Delivery,6.2,If you felt the workshop was too short what additional time would be ideal?,Choice,"Half day more|One full day more (3 days total)|Two days more (4 days total)|N/A - duration was fine",No,No,
Section 6: Logistics & Delivery,6.3,The instructor's teaching style was:,Choice,"Excellent - engaging and clear|Very good|Good|Fair|Needs improvement",No,No,
Section 6: Logistics & Delivery,6.4,The instructor's responsiveness to questions was:,Choice,"Excellent|Very good|Good|Fair|Poor",No,No,
Section 6: Logistics & Delivery,6.5,The balance between lectures and hands-on exercises was:,Choice,"Too much lecture, not enough hands-on|Slightly more lecture than ideal|Well balanced|Slightly more hands-on than ideal|Too much hands-on, not enough lecture",No,No,
Section 6: Logistics & Delivery,6.6,Time allocated for hands-on exercises was:,Choice,"Too little - felt rushed|Slightly insufficient|About right|More than needed",No,No,
Section 7: Application to Your Research,7.1,How likely are you to apply what you learned to your own research?,Choice,"Very likely - already planning to use GFMs|Likely - will explore applications|Possible - need to learn more first|Unlikely - not directly applicable to my work|Very unlikely",No,No,
Section 7: Application to Your Research,7.2,What barriers might prevent you from applying GFMs in your research?,Choice,"Lack of computational resources (GPUs)|Insufficient training data for my domain|Uncertainty about which model to choose|Need more expertise to fine-tune properly|Lack of support/community for my organism|Time constraints|No immediate research question that fits|Other (please specify)",Yes,No,Multi-select; add "Other" text field
Section 7: Application to Your Research,7.3 - Row 1,Understanding when to use GFMs vs traditional approaches,Likert (4-point),"Very confident|Confident|Somewhat confident|Not confident",No,No,Use Likert group for all 7.3 items
Section 7: Application to Your Research,7.3 - Row 2,Selecting the appropriate GFM for a task,Likert (4-point),"Very confident|Confident|Somewhat confident|Not confident",No,No,Part of Likert group
Section 7: Application to Your Research,7.3 - Row 3,Fine-tuning a GFM on your own data,Likert (4-point),"Very confident|Confident|Somewhat confident|Not confident",No,No,Part of Likert group
Section 7: Application to Your Research,7.3 - Row 4,Evaluating GFM performance properly,Likert (4-point),"Very confident|Confident|Somewhat confident|Not confident",No,No,Part of Likert group
Section 7: Application to Your Research,7.3 - Row 5,Interpreting GFM predictions,Likert (4-point),"Very confident|Confident|Somewhat confident|Not confident",No,No,Part of Likert group
Section 7: Application to Your Research,7.4,What specific research question or project would you like to apply GFMs to?,Text (Long),,,No,
Section 8: Cross-Domain Considerations,8.1,As a researcher in your domain did you feel the examples were:,Choice,"Directly applicable to my work|Transferable with some adaptation|Useful for learning but need different examples|Too focused on human genomics",No,No,
Section 8: Cross-Domain Considerations,8.2,Would you have benefited from examples or discussions specific to your research domain?,Choice,"Yes, definitely needed|Would have been helpful but not essential|No, the human example was sufficient for learning|Not sure",No,No,
Section 8: Cross-Domain Considerations,8.3,What domain-specific challenges or considerations should be addressed in future workshops?,Text (Long),,,No,
Section 9: Future Improvements,9.1,What was the BEST aspect of this workshop?,Text (Long),,,No,
Section 9: Future Improvements,9.2,What was the WEAKEST aspect that needs the most improvement?,Text (Long),,,No,
Section 9: Future Improvements,9.3,What specific changes would you recommend for future offerings?,Text (Long),,,No,
Section 9: Future Improvements,9.4,Would you recommend this workshop to colleagues?,Choice,"Definitely yes|Probably yes|Not sure|Probably not|Definitely not",No,No,Net Promoter Score style
Section 9: Future Improvements,9.4b,Please explain your recommendation answer:,Text (Long),,,No,
Section 9: Future Improvements,9.5,What related topics would you be interested in for future workshops?,Choice,"Advanced fine-tuning techniques (LoRA, QLoRA, etc.)|Multi-modal genomic models (sequence + other data types)|Protein language models|Single-cell genomics with foundation models|Large-scale model deployment and inference|Building custom tokenizers for specific organisms|Transfer learning across species|Model compression and efficiency|Integrating GFMs into existing pipelines|Other (please specify)",Yes,No,Multi-select; add "Other" text field
Section 10: Open Feedback,10.1,Any additional comments suggestions or feedback?,Text (Long),,,No,
Optional Contact,C1,Name (optional),Text (Short),,,No,
Optional Contact,C2,Email (optional),Text (Short),,,No,
Optional Contact,C3,Preferred contact method,Choice,"Email|Other (please specify)",No,No,
Optional Contact,C4,Best time for follow-up (if applicable),Text (Short),,,No,
